"DHB","Population","Full_IM","Rate","group","breakdown","from_file","until_month","until_year","until_month_n","until_year_n"
"Wairarapa",NA,NA,0.666667,"Asian","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waitemata",327,272,0.831804,"Asian","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"West Coast",NA,NA,1,"Asian","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Whanganui",NA,NA,1,"Asian","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"National",1684,1384,0.821853,"Asian","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Auckland",243,179,0.736626,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Bay of Plenty",63,44,0.698413,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Canterbury",312,217,0.695513,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Capital & Coast",147,118,0.802721,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Counties Manukau",205,156,0.760976,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hawkes Bay",31,25,0.806452,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hutt Valley",70,53,0.757143,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Lakes",48,33,0.6875,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Midcentral",64,40,0.625,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Nelson Marlborough",80,49,0.6125,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Northland",52,30,0.576923,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"South Canterbury",12,NA,0.583333,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Southern",104,83,0.798077,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Tairawhiti",NA,NA,0.666667,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Taranaki",31,24,0.774194,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waikato",127,89,0.700787,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Wairarapa",10,NA,0.5,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waitemata",332,251,0.756024,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"West Coast",20,NA,0.4,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Whanganui",23,18,0.782609,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"National",1980,1433,0.723737,"Other","ethnic","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Auckland",196,158,0.806122,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Bay of Plenty",45,26,0.577778,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Canterbury",339,253,0.746313,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Capital & Coast",286,230,0.804196,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Counties Manukau",185,131,0.708108,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hawkes Bay",61,43,0.704918,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hutt Valley",92,69,0.75,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Lakes",46,33,0.717391,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Midcentral",69,42,0.608696,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Nelson Marlborough",56,43,0.767857,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Northland",24,14,0.583333,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"South Canterbury",30,25,0.833333,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Southern",172,141,0.819767,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Tairawhiti",17,15,0.882353,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Taranaki",47,34,0.723404,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waikato",166,121,0.728916,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Wairarapa",20,15,0.75,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waitemata",267,199,0.745318,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"West Coast",11,11,1,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Whanganui",26,23,0.884615,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"National",2155,1626,0.754524,"Total","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Auckland",228,187,0.820175,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Bay of Plenty",95,55,0.578947,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Canterbury",342,263,0.769006,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Capital & Coast",205,170,0.829268,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Counties Manukau",213,150,0.704225,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hawkes Bay",55,43,0.781818,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hutt Valley",68,56,0.823529,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Lakes",53,35,0.660377,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Midcentral",102,74,0.72549,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Nelson Marlborough",98,64,0.653061,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Northland",71,44,0.619718,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"South Canterbury",40,36,0.9,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Southern",181,144,0.79558,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Tairawhiti",NA,NA,0.777778,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Taranaki",61,45,0.737705,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waikato",231,139,0.601732,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Wairarapa",15,NA,0.6,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waitemata",382,300,0.78534,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"West Coast",12,11,0.916667,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Whanganui",34,24,0.705882,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"National",2495,1856,0.743888,"NZE","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Auckland",304,233,0.766447,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Bay of Plenty",128,76,0.59375,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Canterbury",370,256,0.691892,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Capital & Coast",199,151,0.758794,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Counties Manukau",220,164,0.745455,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hawkes Bay",91,66,0.725275,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hutt Valley",109,97,0.889908,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Lakes",51,30,0.588235,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Midcentral",101,72,0.712871,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Nelson Marlborough",128,91,0.710938,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Northland",100,64,0.64,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"South Canterbury",36,27,0.75,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Southern",181,152,0.839779,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Tairawhiti",13,NA,0.692308,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Taranaki",91,62,0.681319,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waikato",195,118,0.605128,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Wairarapa",21,15,0.714286,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waitemata",416,293,0.704327,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"West Coast",20,16,0.8,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Whanganui",30,23,0.766667,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"National",2804,2015,0.718616,"Maori","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Auckland",342,261,0.763158,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Bay of Plenty",134,77,0.574627,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Canterbury",302,218,0.721854,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Capital & Coast",129,94,0.728682,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Counties Manukau",327,221,0.675841,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hawkes Bay",123,79,0.642276,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hutt Valley",111,82,0.738739,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Lakes",74,45,0.608108,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Midcentral",164,111,0.676829,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Nelson Marlborough",89,70,0.786517,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Northland",139,67,0.482014,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"South Canterbury",32,20,0.625,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Southern",172,141,0.819767,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Tairawhiti",25,18,0.72,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Taranaki",101,73,0.722772,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waikato",310,177,0.570968,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Wairarapa",41,31,0.756098,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waitemata",348,244,0.701149,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"West Coast",48,28,0.583333,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Whanganui",53,34,0.641509,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"National",3064,2091,0.682441,"Pacific","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Auckland",403,265,0.657568,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Bay of Plenty",200,102,0.51,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Canterbury",202,142,0.70297,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Capital & Coast",168,111,0.660714,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Counties Manukau",841,505,0.600476,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hawkes Bay",211,140,0.663507,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hutt Valley",136,85,0.625,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Lakes",155,83,0.535484,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Midcentral",147,84,0.571429,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Nelson Marlborough",23,15,0.652174,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Northland",231,112,0.484848,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"South Canterbury",21,18,0.857143,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Southern",108,89,0.824074,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Tairawhiti",101,42,0.415842,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Taranaki",78,52,0.666667,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waikato",358,207,0.578212,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Wairarapa",24,17,0.708333,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waitemata",158,102,0.64557,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"West Coast",14,NA,0.642857,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Whanganui",101,62,0.613861,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"National",3680,2242,0.609239,"Asian","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Auckland",122,89,0.729508,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Bay of Plenty",118,67,0.567797,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Canterbury",133,117,0.879699,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Capital & Coast",56,43,0.767857,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Counties Manukau",456,287,0.629386,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hawkes Bay",16,NA,0.5625,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Hutt Valley",53,38,0.716981,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Lakes",70,46,0.657143,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Midcentral",52,38,0.730769,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Nelson Marlborough",58,40,0.689655,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Northland",92,39,0.423913,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"South Canterbury",NA,NA,0.777778,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Southern",60,44,0.733333,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Tairawhiti",NA,NA,0.555556,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Taranaki",21,12,0.571429,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waikato",160,96,0.6,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Wairarapa",NA,NA,0.6,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Waitemata",396,281,0.709596,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"West Coast",NA,NA,1,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Whanganui",NA,NA,1,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"National",1891,1266,0.669487,"Other","deprevation","immunisation-3months-dec2010_0.xls","December ","10",12,2010
"Auckland",1566,1245,0.795019,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Bay of Plenty",714,447,0.62605,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Canterbury",1458,1134,0.777778,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Capital & Coast",913,733,0.802848,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Counties Manukau",2177,1451,0.666514,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hawkes Bay",564,408,0.723404,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hutt Valley",517,428,0.827853,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Lakes",411,268,0.652068,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Midcentral",594,428,0.720539,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Nelson Marlborough",392,310,0.790816,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Northland",624,342,0.548077,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"South Canterbury",171,134,0.783626,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Southern",926,774,0.835853,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Tairawhiti",171,108,0.631579,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Taranaki",354,252,0.711864,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waikato",1347,850,0.631032,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Wairarapa",129,104,0.806202,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waitemata",1879,1381,0.734965,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"West Coast",121,87,0.719008,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Whanganui",216,142,0.657407,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"National",15244,11026,0.723301,"Total","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Auckland",436,368,0.844037,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Bay of Plenty",279,190,0.681004,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Canterbury",794,633,0.797229,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Capital & Coast",381,314,0.824147,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Counties Manukau",271,193,0.712177,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hawkes Bay",219,176,0.803653,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hutt Valley",215,189,0.87907,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Lakes",123,96,0.780488,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Midcentral",296,225,0.760135,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Nelson Marlborough",219,177,0.808219,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Northland",194,133,0.685567,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"South Canterbury",131,106,0.80916,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Southern",613,514,0.838499,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Tairawhiti",35,29,0.828571,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Taranaki",206,152,0.737864,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waikato",541,386,0.713494,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Wairarapa",75,62,0.826667,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waitemata",685,494,0.721168,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"West Coast",68,58,0.852941,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Whanganui",88,63,0.715909,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"National",5869,4558,0.776623,"NZE","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Auckland",222,135,0.608108,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Bay of Plenty",306,156,0.509804,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Canterbury",218,141,0.646789,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Capital & Coast",172,120,0.697674,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Counties Manukau",641,346,0.539782,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hawkes Bay",260,161,0.619231,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hutt Valley",133,104,0.781955,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Lakes",234,130,0.555556,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Midcentral",200,129,0.645,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Nelson Marlborough",73,49,0.671233,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Northland",368,171,0.464674,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"South Canterbury",23,16,0.695652,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Southern",155,124,0.8,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Tairawhiti",117,66,0.564103,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Taranaki",112,70,0.625,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waikato",519,256,0.493256,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Wairarapa",39,29,0.74359,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waitemata",319,196,0.61442,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"West Coast",25,16,0.64,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Whanganui",96,57,0.59375,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"National",4232,2472,0.584121,"Maori","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Auckland",310,221,0.712903,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Bay of Plenty",22,16,0.727273,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Canterbury",71,55,0.774648,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Capital & Coast",103,76,0.737864,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Counties Manukau",773,513,0.663648,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hawkes Bay",29,23,0.793103,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hutt Valley",60,45,0.75,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Lakes",10,NA,0.3,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Midcentral",31,20,0.645161,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Nelson Marlborough",19,15,0.789474,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Northland",NA,NA,0.666667,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"South Canterbury",NA,NA,0.666667,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Southern",31,27,0.870968,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Tairawhiti",NA,NA,0.714286,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Taranaki",NA,NA,0.777778,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waikato",49,34,0.693878,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Wairarapa",NA,NA,1,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waitemata",223,154,0.690583,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"West Coast",NA,NA,0,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Whanganui",NA,NA,0.5,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"National",1763,1224,0.694271,"Pacific","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Auckland",380,339,0.892105,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Bay of Plenty",42,37,0.880952,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Canterbury",143,128,0.895105,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Capital & Coast",110,99,0.9,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Counties Manukau",310,257,0.829032,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hawkes Bay",24,22,0.916667,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Hutt Valley",45,38,0.844444,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Lakes",19,17,0.894737,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Midcentral",24,23,0.958333,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Nelson Marlborough",20,20,1,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Northland",16,12,0.75,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"South Canterbury",NA,NA,0.5,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Southern",42,38,0.904762,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Tairawhiti",NA,NA,0.75,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Taranaki",NA,NA,0.888889,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waikato",100,80,0.8,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Wairarapa",NA,NA,0.833333,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Waitemata",357,314,0.879552,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"West Coast",NA,NA,1,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Whanganui",NA,NA,1,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"National",1664,1452,0.872596,"Asian","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Auckland",218,182,0.834862,"Other","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Bay of Plenty",65,48,0.738462,"Other","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
"Canterbury",232,177,0.762931,"Other","ethnic","immunisation-3months-dec2011.xls","December ","11",12,2011
